station,lines,2011,2012,2013,2014,2015,2016
Gates Av,J Z,1870109,1901060,1895878,1984486,2100864,2117787
Graham Av,L,3054897,3086342,3179579,3402514,3293413,3324292
Grand Army    Plaza,2 3,2417351,2507555,2556750,2505721,2433907,2425948
Grand St,L,2135063,2145374,2260023,2414872,2242757,2174128
Grant Av,A,1953637,1952581,1958503,2041848,2084651,2170567
Greenpoint Av,G,2490286,2521422,2543568,2428027,2902723,2951454
Halsey St,J,1805490,1800505,1845755,1968526,2083683,2101350
Halsey St,L,2037729,2136529,2317512,2492974,2465693,2629576
Hewes St,J M,848377,895661,927212,903641,981379,913179
High St,A C,2093306,2209212,2441136,2687244,2656705,2536059
Hoyt St,2 3,1922916,1978582,2033085,2181465,2249892,2356001
Hoyt-Schermerhorn    Sts,A C G,2968639,2990881,2971379,2961316,3038302,3082398
Jay    St-MetroTech,A C F R,11149629,11492780,11793956,12197352,12765132,13091255
Jefferson St,L,1815391,1906878,2136772,2425983,2514292,2563505
Junius St,3,678990,660013,690625,727369,928235,681935
Kings Hwy,B Q,5311662,5453084,5697467,5693562,5905481,6014920
Kings Hwy,F,1115062,1117098,1134042,1137784,1202640,1398753
Kings Hwy,N,1601357,1616827,1630749,1687226,1710115,475763
Kingston Av,3,1519113,1515277,1545567,1564089,1573003,1560437
Kingston-Throop    Avs,C,1659127,1703474,1834623,1887628,1992480,2031710
Knickerbocker    Av,M,1136213,702426,1018286,1147331,1288025,1288438
Kosciuszko St,J,1468119,1482044,1515244,1521002,1593719,1661644
Lafayette Av,C,1556902,1582360,1638947,1617464,1631737,1639947
Liberty Av,C,817481,796044,810031,807678,858554,920826
Livonia Av,L,829015,902860,934287,987560,1001522,1045593
Lorimer St,J M,1470761,1494085,1523986,1500980,1614154,1595826
Lorimer St    /Metropolitan Av,L G,4479022,4643512,5040719,5090344,5238736,5156893
Marcy Av,J M Z,3609981,3564065,3681903,3953628,4204877,4272443
Montrose Av,L,1983449,2075901,2178772,2335128,2334271,2338095
Morgan Av,L,2114813,2262826,2373595,2513823,2453723,2614617
Myrtle Av,J M Z,3155344,3257338,3562631,3523740,3687468,3764562
Myrtle-Willoughby    Avs,G,1383197,1440313,1578243,1722392,1875988,1887369
Myrtle-Wyckoff    Avs,L M,5358434,5662633,5982615,6381800,6464630,6531453
Nassau Av,G,2396169,2479649,2653526,2760220,2916005,2851899
Neck Rd,Q,1242661,1148708,1218313,1232947,1305776,1336596
Neptune Av,F,536991,505076,523554,512828,531011,513566
Nevins St,2 3 4 5,3524471,3454621,3477861,3580156,3310625,3220745
New Lots Av,3,1954353,1857630,1975478,2038532,2155220,2065205
New Lots Av,L,1304384,1379065,1499902,1583983,1595607,1645273
New Utrecht    Av /62 St,N D,1768935,1931306,1654945,1716638,1857740,1784812
Newkirk Av,2 5,2352060,2279365,2393978,2431300,2476287,2395551
Newkirk Plaza,B Q,2999870,3021079,3380559,3302958,3432907,3315748
Norwood Av,J Z,1065062,1097011,1095573,1145643,1159274,1146658
Nostrand Av,3,1324424,1313227,1327377,1358826,1386067,1358853
Nostrand Av,A C,5139201,5283444,5510841,5439806,5762163,5861658
Ocean Pkwy,Q,1033582,983972,990091,969271,1022215,1016458
Park Pl,S,707253,682438,646934,608731,602858,576122
Parkside Av,Q,2098007,1812362,1381093,1617878,1692567,1783716
Pennsylvania    Av,3,1805956,1690851,1752108,1746438,2111790,753493
President St,2 5,1133831,1142008,1216019,1221048,1243976,1226582
Prospect Av,R,1930101,1864725,1826064,1827271,1785990,1758711
Prospect Park,B Q S,2815199,2892200,3190679,3312727,3327301,3272810
Ralph Av,C,1585546,1625548,1719602,1787157,1867793,1863036
Rockaway Av,3,1792136,1682755,1753354,1763824,526505,1534978
Rockaway Av,C,1548571,1574733,1615457,1641268,1721297,1786802
Saratoga Av,3,1743578,1676421,1777399,1791700,2442282,1208956
Sheepshead    Bay,B Q,4096449,4148629,4205275,4201776,4296566,4322837
Shepherd Av,C,930613,945113,988620,1027404,1059106,1059144
Smith-9 Sts,F G,577571,0,926087,1539209,1636221,1533167
Sterling St,2 5,1787824,1803628,1866122,1785975,1822524,1805238
Sutter Av,L,1303422,1383957,1449524,1499122,1453567,1435112
Sutter    Av-Rutland Rd,3,2370949,2288256,2419794,2467381,2420464,2035027
Union St,R,2228520,2148505,2058555,2065047,2073096,2024863
Utica Av,A C,4437282,4530536,4726582,4878678,5060099,5152649
Van Siclen Av,3,1061359,1016466,1060055,1048755,304082,1250237
Van Siclen Av,C,901530,897528,941172,967947,1019100,1017779
Van Siclen Av,J Z,886663,893665,913115,943663,966461,983370
West 8 St-New    York Aquarium,F Q,814749,767921,702810,741345,789416,795636
Wilson Av,L,1093030,1115994,1243700,1393045,1407098,1219239
Winthrop St,2 5,2173945,2171267,2275444,2263671,2241716,2146809
York St,F,2251649,2344141,2666502,2760385,2900416,3286640
1 Av,L,7050336,7296576,7735905,8111070,7702110,7660896
103 St,1,4302101,4366343,4427199,4199559,4258632,4290142
103 St,6,4901637,4861001,5038138,5198601,4031201,4336922
103 St,B C,1453267,1472319,1528633,1555514,1521132,1481660
110 St,6,3771563,3740549,3841826,3955522,4209449,4196711
116 St,2 3,3439949,3584234,3715803,3845140,3948545,3874037
116 St,6,5253753,5264035,5347692,5370343,5324072,5336694
116 St,B C,1944599,2000033,2122084,2234662,2246138,2276196
116 St-Columbia University,1,4932065,4942022,5044561,4917691,4846181,4797152
125 St,1,2438449,2560513,2649847,2578729,2555321,2524125
125 St,2 3,4518487,4635697,4917465,5103216,5121518,4989981
125 St,4 5 6,8868272,8965496,9290210,9574765,9586567,9431163
125 St,A B C D,8173608,8427453,8932680,9342667,9558837,9603878
135 St,2 3,4344677,4477110,4672352,4932623,4949583,4867017
135 St,B C,1575802,1633467,1722204,1731602,1693561,1731460
137 St-City College,1,4546654,4634498,4825267,4542044,4646578,4564432
14 St   /8 Av,A C E L,12415290,13044037,13903211,14340856,14763727,14572075
14 St     /6 Av,F M 1 2 3 L,15199211,15487097,15844699,16215866,16121318,16118952
14 St-Union Sq,L N Q R W 4 5 6,34927178,34639575,35309414,35677468,35320623,34289822
145 St,1,3138419,3289827,3274106,3364151,3338110,3328994
145 St,3,981914,1014623,1073259,1114674,1137484,1086105
145 St,A B C D,6948193,7048936,7432177,7778992,7923696,7949593
155 St,B D,1248295,1257551,1281168,1299098,1306282,1308981
155 St,C,792465,798881,822333,852716,842826,881431
157 St,1,3259408,3381015,3458058,3481873,3516545,3542519
163    St-Amsterdam Av,C,1221336,1230018,1317493,1390615,1395260,1450668
168 St,A C 1,7500154,7503282,7884456,8090476,8009233,8217661
175 St,A,4029936,4028015,4154792,4187473,4197373,4049645
18 St,1,2497134,2533877,2585522,2622558,2676304,2687128
181 St,1,3171483,3496979,3608658,3751020,3779275,3772385
181 St,A,3245786,3242555,3309493,3456161,3628174,3459170
190 St,A,1445656,1473807,1472564,1458911,1530460,1460194
191 St,1,2318562,2512719,2598961,2700904,2713440,2730419
2 Av,F,5728217,5706955,5999079,5772265,5847710,5772537
207 St,1,2054287,2205288,1966949,2049587,2090297,2148169
215 St,1,583486,599790,638224,626312,615177,636441
23 St,1,4622230,4654520,4818903,4883773,4884678,4703374
23 St,6,8999142,8901705,9200337,9033835,8627481,8539378
23 St,C E,7001778,7155940,7629811,7923005,7844508,7543246
23 St,F M,7911886,8078511,8446249,8678810,8942154,8989195
23 St,W R,6659479,6805210,6905704,7348879,7965410,8151328
28 St,1,4093901,4346501,4548738,4666347,4665377,4544976
28 St,6,6741400,6688570,7076992,7107083,7214293,7161164
28 St,W R,3297714,3413315,3520209,3796977,4083143,4205109
3 Av,L,2048408,2182023,2310062,2473561,2386533,2449392
33 St,6,9220240,9374676,9756409,9798598,9701723,9577123
34 St-Herald    Square,B D F M N Q R W,37731386,37154138,38213448,39285568,39541865,39000352
34    St-Hudson Yards,7,null,null,null,null,692165,2691851
34 St-Penn    Station,1 2 3,26758623,27010176,27730331,28638643,28309160,27741367
34 St-Penn    Station,A C E,24751771,24851746,25726374,26493571,26147434,25183869
42 St-Bryant    Pk    /5 Av,B D F M 7,14752187,14917245,15527439,15896805,16220605,16934142
47-50    Sts-Rockefeller Center,B D F M,17466013,17091251,17759382,18236646,18469446,18086203
49 St,N W R,8121552,8186576,8155010,8544694,8029988,8754627
